source,target,edge_type
803700000,803730000,ownership
803700000,803731000,ownership
803700000,803733000,ownership
803700000,803734000,ownership
803700000,803735000,ownership
803700000,803736000,ownership
803700000,803738000,ownership
803700000,803739000,ownership
803700000,803740000,ownership
803700000,803741000,ownership
803700000,803742000,ownership
803700000,803743000,ownership
803700000,803744000,ownership
803700000,803745000,ownership
803700000,803746000,ownership
803700000,803748000,ownership
803700000,803749000,ownership
803700000,803750000,ownership
803700000,803751000,ownership
804800000,804801000,ownership
804800000,804802000,ownership
804800000,804803000,ownership
804800000,804804000,ownership
804800000,804805000,ownership
804800000,804806000,ownership
804800000,804807000,ownership
804800000,804808000,ownership
804800000,804809000,ownership
804800000,804810000,ownership
804800000,804811000,ownership
804800000,804812000,ownership
804800000,804813000,ownership
804800000,804814000,ownership
804800000,804815000,ownership
804800000,804816000,ownership
804800000,804817000,ownership
804800000,804818000,ownership
804800000,804819000,ownership
804800000,804820000,ownership
804800000,804821000,ownership
804800000,804822000,ownership
804800000,804823000,ownership
804800000,804824000,ownership
806000000,806001000,ownership
806000000,806002000,ownership
806000000,806003000,ownership
806000000,806004000,ownership
806000000,806005000,ownership
806000000,806006000,ownership
806000000,806007000,ownership
806000000,806008000,ownership
806000000,806009000,ownership
806000000,806010000,ownership
806000000,806011000,ownership
806000000,806012000,ownership
806000000,806013000,ownership
806000000,806014000,ownership
806000000,806015000,ownership
806000000,806016000,ownership
806000000,806017000,ownership
806000000,806018000,ownership
806000000,806019000,ownership
806000000,806020000,ownership
806000000,806021000,ownership
806000000,806022000,ownership
806000000,806023000,ownership
806000000,806024000,ownership
806000000,806025000,ownership
806000000,806026000,ownership
806400000,806401000,ownership
806400000,806402000,ownership
806400000,806403000,ownership
806400000,806404000,ownership
806400000,806405000,ownership
806400000,806406000,ownership
806400000,806407000,ownership
806400000,806408000,ownership
806400000,806409000,ownership
806400000,806410000,ownership
806400000,806411000,ownership
806400000,806412000,ownership
806400000,806413000,ownership
806400000,806414000,ownership
806400000,806415000,ownership
806400000,806416000,ownership
806400000,806417000,ownership
806400000,806418000,ownership
806400000,806419000,ownership
807800000,807801000,ownership
807800000,807802000,ownership
807800000,807803000,ownership
807800000,807804000,ownership
807800000,807805000,ownership
807800000,807806000,ownership
807800000,807807000,ownership
807800000,807808000,ownership
803700000,831600000,ownership
907200000,907201000,ownership
907200000,907202000,ownership
907200000,907203000,ownership
907200000,907204000,ownership
907200000,907205000,ownership
907200000,907206000,ownership
907200000,907207000,ownership
907200000,907208000,ownership
907200000,907209000,ownership
907200000,907210000,ownership
907200000,907211000,ownership
907200000,907212000,ownership
907200000,907213000,ownership
907200000,907214000,ownership
907200000,907215000,ownership
907200000,907216000,ownership
907200000,907217000,ownership
907200000,907218000,ownership
907200000,907219000,ownership
907200000,907220000,ownership
907200000,907221000,ownership
907200000,907222000,ownership
907200000,907223000,ownership
907200000,907224000,ownership
907200000,907225000,ownership
907200000,907226000,ownership
907200000,907227000,ownership
907300000,907302000,ownership
907300000,907303000,ownership
907300000,907305000,ownership
907300000,907306000,ownership
907300000,907307000,ownership
907300000,907308000,ownership
907300000,907311000,ownership
907300000,907312000,ownership
907300000,907313000,ownership
907300000,907315000,ownership
907300000,907317000,ownership
907300000,907318000,ownership
907300000,907319000,ownership
907300000,907322000,ownership
907300000,907323000,ownership
907300000,907324000,ownership
907300000,907325000,ownership
907300000,907327000,ownership
907300000,907328000,ownership
